icao_airl_code,perf_type,deviation_code,mel_dx_remark,mel_ofp_remark,p_tow,p_enrte_wt,p_lw,p_tcap,unit_weight,p_perf_corr,p_altitude,unit_vertical,p_speed_knots,p_speed_mach,unit_speed,p_etops_circles,unit_etops_circles,p_etops_critfuel_dc,p_etops_critfuel_dx,item_10a,item10_b,item18_rnav,item18_rnp,tcas,fms,landing_ep,ats_service_type,other_eq,auto_land_down,ils_down,aos_action,gls_down,rnp_precision_down,aime,eff_from,eff_till,action
HVN,87967,CDL57-60-01X1,ANY NUMBER MAY BE MISSING. 1 AFFECTED FAIRING *APPLY PENALTY TAKE-OFF 476 ENROUTE 204 APPROACH & LANDING 159*,AILERON INBOARD FORWARD BLISTER FAIRING. ,476,204,159,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-60-01X2,ANY NUMBER MAY BE MISSING. 2 AFFECTED FAIRING *APPLY PENALTY TAKE-OFF 952 ENROUTE 408 APPROACH & LANDING 318*,AILERON INBOARD FORWARD BLISTER FAIRING. ,952,408,318,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-60-02X1,ANY NUMBER MAY BE MISSING. 1 AFFECTED FAIRING *APPLY PENALTY TAKE-OFF 136 ENROUTE 68 APPROACH & LANDING -*,AILERON INBOARD AFT BLISTER FAIRING. *,136,68,0,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-60-02X2,ANY NUMBER MAY BE MISSING. 2 AFFECTED FAIRING *APPLY PENALTY TAKE-OFF 272 ENROUTE 136 APPROACH & LANDING -*,AILERON INBOARD AFT BLISTER FAIRING. ,272,136,0,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-60-03X1,ANY NUMBER MAY BE MISSING. 1 AFFECTED FAIRING *APPLY PENALTY TAKE-OFF 567 ENROUTE 249 APPROACH & LANDING 181*,AILERON OUTBOARD FORWARD BLISTER FAIRING. ,567,249,181,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-60-03X2,"ANY NUMBER MAY BE MISSING. 2 AFFECTED FAIRING *APPLY PENALTY TAKE-OFF 1,134 ENROUTE 498 APPROACH & LANDING 362*",AILERON OUTBOARD FORWARD BLISTER FAIRING. ,1134,498,362,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-60-04X1,ANY NUMBER MAY BE MISSING. 1 AFFECTED FAIRING *APPLY PENALTY TAKE-OFF 249 ENROUTE 113 APPROACH & LANDING 91*,AILERON OUTBOARD AFT BLISTER FAIRING. ,249,113,91,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL57-60-04X2,ANY NUMBER MAY BE MISSING. 2 AFFECTED FAIRING *APPLY PENALTY TAKE-OFF 498 ENROUTE 226 APPROACH & LANDING 182*,AILERON OUTBOARD AFT BLISTER FAIRING. ,498,226,182,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
HVN,87967,CDL78-31-01,UP TO THIRTEEN MAY BE MISSING. TWELVE MAY BE MISSING FROM ONE ENGINE AND ONE MAY BE MISSING FROM THE OTHER ENGINE MANUALLY ENSURE: REFER TO MEL FOR PERFORMANCE PENALTY,THRUST REVERSER BLOCKER DOORS. ,0,0,0,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,a,,,,,,INSERT
HVN,87967,CDL78-31-02X1,ANY NUMBER MAY BE MISSING. WEDGE FAIRING MISSING: 1 *APPLY PENALTY TAKE-OFF 249 ENROUTE 113 APPROACH & LANDING 136*,THRUST REVERSER BLOCKER DOOR WEDGE FAIRING. ,249,113,136,0,KG,0,0,FF,0,0,KT,0,MN,0,0,,,,,,,,,,,,w,,,,,,INSERT
